MODEL,ItemID,ScorePoints,RecodeRule,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
IRT3pln,27333,1,,0.708901882,-0.902318118,0.08679,,,,,,,,
IRTGPC,21330,1,,1.673957371,2.316831092,,,,,,,,,
IRT3pln,26466,1,,1.47025518,2.663442637,0.15153,,,,,,,,
IRTGPC,21965,1,,1.101282001,1.378775285,,,,,,,,,
IRT3pln,16644,1,,1.685505746,1.612764265,0.33002,,,,,,,,
IRT3pln,24069,1,,1.174747125,1.716365567,0.14912,,,,,,,,
IRT3pln,23944,1,,0.394878629,-0.77433716,0.13939,,,,,,,,
IRT3pln,15591,1,,0.712031123,-0.474186344,0.14187,,,,,,,,
IRT3pln,22287,1,,0.719036745,3.945266981,0.11983,,,,,,,,
IRTGPC,21320,1,,0.774286685,1.431958789,,,,,,,,,
IRT3pln,27314,1,,0.907883381,0.946948457,0.00185,,,,,,,,
IRT3pln,22011,1,,0.81803958,1.957637573,0.15745,,,,,,,,
IRT3pln,27356,1,,1.741521622,1.912522174,0.00024,,,,,,,,
IRT3pln,27336,1,,1.101442029,-0.147661896,0.00238,,,,,,,,
IRT3pln,24041,1,,1.008004896,0.954229155,0.15012,,,,,,,,
IRTGPC,23970,1,,1.0008209,1.987015518,,,,,,,,,
IRTGPC,15002,1,,1.305781847,1.37332582,,,,,,,,,
IRTGPC,21303,1,,0.801862666,2.021832684,,,,,,,,,
IRTGPC,14972,1,,0.743224944,1.628661953,,,,,,,,,
IRTGPC,23141,1,,1,1,,,,,,,,,
IRTGPC,23176,1,,1.108345403,1.198471734,,,,,,,,,
IRT3pln,26015,1,,0.401398727,0.800991671,0.02593,,,,,,,,
IRT3pln,26426,1,,0.490889243,3.438962313,0.25272,,,,,,,,
IRT3pln,23137,1,,1.516391822,1.203972416,0.31099,,,,,,,,
IRT3pln,15396,1,,1.04366072,0.362613889,0.12401,,,,,,,,
IRTGPC,21975,1,,1.532528537,2.002749312,,,,,,,,,
IRTGPC,21332,2,,0.514428144,1.133498127,3.271306999,,,,,,,,
IRTGPC,21601,1,,0.614441323,0.841992704,,,,,,,,,
IRT3pln,27337,1,,1.522211161,2.570988047,0.17514,,,,,,,,
IRT3pln,27348,1,,1.333590701,0.496560028,0.10706,,,,,,,,
IRT3pln,26432,1,,0.731751097,-0.05128585,0.15227,,,,,,,,
IRT3pln,23978,1,,1.193232565,1.597511908,0.22347,,,,,,,,
IRT3pln,27344,1,,1.759658826,2.068561142,0.00054,,,,,,,,
IRTGPC,23937,1,,1.048025098,0.685125951,,,,,,,,,
IRTGPC,21265,1,,1.075377118,1.165754455,,,,,,,,,
IRTGPC,24035,1,,1.984976764,2.022662396,,,,,,,,,
IRTGPC,15198,1,,0.79664264,0.39475754,,,,,,,,,
IRTGPC,21464,1,,0.974514034,2.232026348,,,,,,,,,
IRT3pln,21929,1,,0.670609726,0.504668749,0.36229,,,,,,,,
IRTGPC,21698,1,,1.721609493,2.871109325,,,,,,,,,
IRT3pln,15380,1,,1.10165527,0.329671257,0.25734,,,,,,,,
IRTGPC,14542,1,,1.302072125,2.255391443,,,,,,,,,
IRTGPC,21963,1,,1.080028627,0.023415401,,,,,,,,,
IRT3pln,21946,1,,0.503465515,-0.517976691,0.0483,,,,,,,,
IRTGPC,21964,1,,1.034150969,3.219598538,,,,,,,,,
