testID,i_YY53,i_OX84,i_WZ23,i_PI79,i_FE86,i_MT80,i_JM82,i_AF64,i_YJ65,i_GI11,i_TW37,i_JF49,i_FO48,i_VN88,i_TJ68,i_QZ64,i_XA12,i_HB29,i_OI90
1,1,2,1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,2,0
2,0,2,1,1,1,1,1,1,0,1,0,2,1,0,1,0,1,0,0
3,2,2,1,2,1,2,3,1,1,1,1,1,1,0,1,1,1,2,0
4,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
5,1,1,1,2,0,2,0,0,1,1,0,0,0,0,2,1,0,1,0
6,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
7,1,2,0,2,2,2,1,1,0,1,1,2,0,2,1,0,1,0,1
8,0,2,1,1,0,2,0,0,1,1,1,1,0,0,0,1,0,0,0
9,2,2,0,2,2,1,1,1,1,1,1,1,0,1,0,1,1,2,0
10,1,1,1,1,2,0,1,0,1,1,1,1,1,1,1,0,0,0,1
11,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0
12,2,2,1,2,1,2,2,1,2,1,1,0,1,1,0,1,1,2,1
13,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,2,2,1,1,1,2,1,1,2,1,1,2,1,0,0,1,1,2,1
15,2,2,1,0,2,1,0,1,2,1,1,1,1,2,1,1,0,0,0
16,2,2,1,1,1,2,0,1,2,1,1,2,0,0,1,1,0,0,0
17,2,1,1,0,2,2,0,0,0,0,1,0,1,0,1,1,0,1,0
18,1,2,0,1,0,0,0,1,1,1,0,2,1,0,1,1,0,0,0
19,2,2,1,0,1,1,1,1,2,1,1,0,1,0,1,1,1,0,1
20,2,2,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,0,0
21,2,2,1,1,1,1,1,1,0,0,1,2,1,1,1,1,0,1,1
22,2,2,1,1,1,1,1,1,2,0,1,1,0,1,0,1,0,1,1
23,2,2,1,1,2,2,4,1,2,1,1,2,1,0,2,0,1,2,1
24,2,2,1,2,1,1,2,1,2,1,1,1,1,2,1,0,0,2,0
25,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0
26,1,2,1,1,0,1,0,1,2,1,1,2,0,1,1,1,1,2,1
27,1,2,1,0,1,2,1,0,2,1,0,2,1,1,0,1,0,0,0
28,2,2,1,1,1,1,3,1,1,1,0,1,1,1,1,0,1,0,1
29,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,2,2,1,2,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0
31,2,2,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,1
34,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
35,0,2,1,1,0,2,1,1,0,1,1,0,0,1,1,0,1,2,1
36,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
37,1,2,0,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0
38,2,1,1,2,2,1,1,1,2,1,1,2,1,2,1,1,1,0,0
39,2,1,1,2,0,2,2,1,1,1,1,2,1,0,1,0,0,2,1
40,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
41,2,2,1,1,2,2,2,1,1,1,0,1,1,2,1,1,1,1,0
42,1,2,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1
43,1,1,1,2,0,0,1,1,1,0,1,1,1,0,1,0,1,1,0
44,1,2,0,1,1,2,1,1,2,1,0,1,1,1,1,0,0,1,1
45,1,1,0,1,1,1,0,0,2,1,0,2,1,1,0,0,0,0,0
46,2,2,0,1,1,1,1,1,2,0,1,0,1,1,0,1,0,1,0
47,1,1,1,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,0
48,1,1,1,1,0,2,1,0,0,1,1,1,1,1,1,0,1,0,1
49,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1
50,1,0,0,1,1,2,0,0,1,1,1,1,1,1,1,0,1,1,0
51,2,2,1,1,0,1,0,1,0,1,1,2,1,2,1,0,1,1,1
52,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,0,1
53,2,2,1,0,1,2,2,0,1,1,1,1,1,1,1,0,1,0,0
54,1,2,0,1,1,2,1,1,0,1,1,1,1,1,0,1,0,0,0
55,1,2,1,1,2,1,1,1,0,0,1,2,1,0,1,0,1,2,0
56,2,2,1,1,2,1,5,1,1,1,1,0,1,2,1,1,0,2,1
57,2,2,1,2,1,1,1,1,2,0,1,1,0,2,1,1,0,0,1
58,2,3,0,1,1,1,0,1,2,1,1,1,1,0,1,1,0,2,0
59,2,2,1,1,1,2,0,1,1,1,1,1,0,0,1,0,1,1,0
60,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
61,0,2,1,0,1,0,0,0,2,0,1,2,0,0,0,0,0,0,0
62,1,2,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0
63,2,2,1,1,2,2,1,1,1,0,1,2,1,2,1,1,1,1,1
64,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
65,2,2,1,1,0,0,1,1,2,1,1,2,0,1,1,0,1,2,1
66,1,2,1,2,2,1,1,1,1,1,0,1,1,1,0,1,0,0,1
67,2,1,0,1,0,0,2,1,0,1,0,0,0,0,1,0,1,0,1
68,1,2,1,1,0,0,1,1,1,1,1,2,0,1,0,1,1,2,0
69,2,2,1,1,1,0,0,0,0,0,1,2,1,0,1,0,1,0,0
70,2,2,1,2,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1
71,2,1,1,1,0,2,0,0,1,0,0,0,0,1,0,1,0,1,0
72,2,3,1,2,1,1,0,0,0,0,0,2,1,2,1,1,0,0,0
73,2,1,1,1,2,2,1,1,2,1,1,2,1,1,0,1,1,0,1
74,0,2,0,1,0,2,0,0,1,0,0,1,1,1,1,0,1,0,0
75,2,3,1,1,2,2,2,1,1,1,1,2,1,2,1,0,1,2,1
76,0,1,1,1,1,0,3,1,1,1,1,0,1,0,1,1,1,1,0
