ITEM_ID,SCOREPOINTS,P0,P1,P2,P3,P4,P5,P6,P7,,
YY53,2,0.68875,-1.58973,0.19455,,,,,,,
OX84,3,0.76991,-1.17352,-0.31543,2.09642,,,,,,
WZ23,1,1.02312,-0.9471,0,,,,,,,
PI79,2,0.58979,-0.95977,1.38123,,,,,,,
FE86,2,0.45082,-0.7787,0.86058,,,,,,,
MT80,2,0.47064,-0.45642,0.44082,,,,,,,
JM82,6,0.7005,-0.55645,1.56666,2.41481,1.80477,2.23154,4.23151,,,
AF64,1,0.58789,-0.77418,0,,,,,,,
YJ65,2,0.21754,-1.15913,3.05721,,,,,,,
GI11,1,0.74883,-0.51612,0,,,,,,,
TW37,1,0.7877,-0.47686,0,,,,,,,
JF49,2,0.43818,-0.46875,1.40141,,,,,,,
FO48,1,0.67052,-0.5228,0,,,,,,,
VN88,2,0.54364,-0.33908,1.23736,,,,,,,
TJ68,2,0.34547,-0.97222,4.74648,,,,,,,
FN29,1,0.48152,-0.69076,0,,,,,,,
RR32,1,0.69979,-0.21988,0,,,,,,,
TU70,1,1.34541,0.07878,0,,,,,,,
IV17,1,0.36695,-0.6662,0,,,,,,,
QZ64,1,0.61358,-0.03263,0,,,,,,,
XA12,1,0.7998,0.1441,0,,,,,,,
HB29,2,0.74688,0.65919,0.72109,,,,,,,
OI90,1,0.67796,0.15047,0,,,,,,,
