text,label
"Some of the troubles builders came into play with while constructing the empire state buildings mooring mast, were structure, how it would be built, and how it could physically hold a blimp without being ripped out. One problem was figuring out how to reinforce the mast so that the lead could transfer to the foundation instead of ripping off the top half of the building.",1
"Dear, @CAPS1 paper edattor we should stop because people arent doing anything their just staying home using the computer. Making there life worser they should make a day whith out computors and every one goes out side and gets exsesise. Wo could mapse the world better the more you. Exersise the stronger you get people livse computers because they could there frends play games thats but some time we have to go outside. Some times i like using the computer but a littile to much land that i dont get that mach exesersise and i hope i could stop from that and go out side and exersise more. We would have computers but we wont use it like for along time then spend more outside. We should only olw kids for only two or three hours a day. When there using the computer they use over like hours thats not good they should go out side thats why.",3
"The mood created by the author in the memoroir is gentla and proudness. The author explains of how he felt of his parent that risk everything in order to give him a better future according to paragraph @NUM1. The author feels proud of being from Cuba through the whole memoroir. He feel proud of being Cuban by explaining the things he does and things that they share by his culture. Last but least he feels thankfulness according to paragraph @NUM2 becouse, through his parents and things from his country he learned what family really means, he says ""... I will never forget that house or its gracious neighborhood or the many things I learned there about how to love. I will never forget how my parents turn this simple house into a home"". Through the whole memoroir the auther show proudness of wher re he came from, from his parents, country, and his neighborhood.",3
"The features of the setting in “Rough Road Ahead: Do not exceed posted speed limit” greatly affect the cyclist. I’m sure that the heat makes the cyclist more thirsty, and heat can also drain energy extremely fast. Being in “the california desert in the middle of June” does not sound like an enjoyable time to be riding a bike. When the cyclist got tired and exhausted from not having any water, I’m sure that riding past all of the empty land had an effect on his attitude. I think that seeing a building made him get excited, and then when he found out that it was nothing more than an abandoned building, his spirits greatly dropped. He probably felt that he couldn’t continue for very much longer simply because all of the buildings he came across were empty, or abandoned. When the cyclist reached the bait store, he probably felt much better, and very relieved to have gotten there before he had a heat stroke.",3
"In the passage ""The Mooring Mast"" by Marcia Amidon Lüsted, she talked about the obstacles facest when trying to allow dirigibles to dock on the Empire State Building. The three main obstacles was the safety, mother nature and existing laws. One of the greatest obstacle was because of safety. Lüsted states, ""... Never fulfilled its purpose... The greatest reason was one safety: Most dirigibles from outside the United States used hydrogen rather than helium, and hydrogen is highly flammable."" Because hydrogen is highly flammable there would be no way that would be safe. The building could catch of fire and be a danger for all. Secondly, nature itself would have an affect on the dirigibles. Lüsted states, ""The greatest obstacle to the successful use of the mooring mast was nature itself. The winds on top of the building were constantly shifting due to violent air currents."" The violent air currents couldnt allow dirigibles to be on the Empire State Building because you can't have dirigibles with violent air currents. It isnt safe. Lastly, laws was an obstacle the builders had to face: Lüsted's knowledge is, ""The other practical lesson why dirigibles could not moor at the Empire State Building was an existing law against airships flying too low over urban areas."" The law was a huge obstacle for the builders building the dirigibles. Because you can't build something with it being against the law. Because of safety, mother nature and laws, thats what stop the builders from building the dirigibles.",3
"The mood created by the author in the memoir is happy. The author uses words such as warm to describe things. ""Warm homes"" gives you a happy feeling @CAPS1 two gives you a happy mood overal. It makes you think about how happy the author is knowing they still have their family memories/skills.In @CAPS1 @NUM1, the author using many words which set the mood of happiness, like ""warmth of kitchen, humble home, not just scent and music but life and love, gracious neighborhood, and simple house into a home. These choice words used by the author give you a good feeling and put you in a happy mood.",2
"In “Do Not Exceed Posted Speed Limit” the cyclist is affected by the features of the setting by making him feel worse than he does. The cyclist is lost, has only found dirty water, and is moving on rough ground. The features of the setting are “cool pines and rushing rivers,” however, the cyclist comes to find that the “rushing river” is not so refreshing. He also encounters a terrain change, from flat road to short, rolling hills. There is a sign, “Do not exceed posted speed limit,” also the name of the passage with a limit of 55 mph, while the cyclist is only going 12 mph. Ironically, he finds a picture of a boy drinking grape juice at the factory, which cause him to hang his head in misery due to his intense thirst. Finally, he comes to a fish camp, where he encounters the owner who, ironically, tells him he’d be better off using his map.",2
The mood created by the author in the memoir is lifting. The mood created by the author is lifting because it shows that race doesn't matter when it comes to unity or friendship. It is also lifting because Narciso's parents gave up everything and everyone so that their family can live a better life. Another reason why it is lifting is because in the story it talks about how the family doesn't have to neccisarily blood related and can be someone you love and will help you. That is why I think the mood created by the author in the memoir is lifting.,2
"The builders of the empire state building ran into a lot of problems involving the dirigibles.  One problem is that there was no easy way to make such a suitable docking station at such a great height, while making it look good.  The other, most main reason/problem with the mast for mooring the dirigibles was just a safety issue.  But a big one.  Most dirigibles used hydrogen instead of helium and hydrogen is extremely flammable.  So, if something were to go wrong with docking the dirigible could catch fire and explode & go down in a densely populated area.  There were a lot of safety and structure issues but they were eventually resolved, (like the fact that large lead weights needed to dangle over the streets to weigh down the back of the dirigible",1
The author put that sentence in the story because she feels that will give her enough time to get the test right and cause she likes geese.,1
